onset_month,onset_date,first_confirmed_month_within_3m_window,first_confirmed_observable_date_within_3m_window,days_from_onset_to_confirmation,first_5pct_drop_from_onset_date,first_10pct_drop_from_onset_date,days_confirmation_minus_first_5pct,days_confirmation_minus_first_10pct,at_confirmation_pct_from_prior_6m_peak,at_confirmation_pct_from_onset_close,reference_peak_date,first_5pct_from_reference_peak_date,first_10pct_from_reference_peak_date,days_confirmation_minus_peak_5pct,days_confirmation_minus_peak_10pct,further_min_return_after_confirmation_pct,six_month_min_return_from_onset_daily_pct,three_market_proxy_date_no_fsi,proxy_days_minus_first_5pct,proxy_days_minus_first_10pct,proxy_pct_from_prior_6m_peak,proxy_vix,proxy_momentum_63d
2008-03,2008-03-31,2008-03,2008-03-31,0,2008-07-07,2008-09-17,-98,-170,-15.490532502336462,0.0,2007-10-09,2007-11-07,2007-11-26,145,126,-16.351396024090313,-16.351396024090313,2008-03-31,-98,-170,-15.490532502336462,25.61,-10.402573128738135
2008-08,2008-08-29,2008-08,2008-08-29,0,2008-09-15,2008-09-29,-17,-31,-10.0797016981244,0.0,2008-05-19,2008-06-11,2008-06-26,79,64,-42.697781308738655,-42.697781308738655,2008-08-29,-17,-31,-10.0797016981244,20.65,-7.421686594148802
2019-11,2019-11-29,2020-02,2020-02-28,91,2020-02-27,2020-03-09,1,-10,-12.755782942204108,-5.945915317096462,2020-02-19,2020-02-25,2020-02-27,3,1,-24.264275357557985,-28.76745740958695,2020-02-27,0,-11,-12.031064906374844,39.16,-4.9424914196211756
2020-02,2020-02-28,2020-02,2020-02-28,0,2020-03-09,2020-03-12,-10,-13,-12.755782942204108,0.0,2020-02-19,2020-02-25,2020-02-27,3,1,-24.264275357557985,-24.264275357557985,2020-02-28,-10,-13,-12.755782942204108,40.11,-5.9321401446099316
2022-01,2022-01-31,2022-01,2022-01-31,0,2022-02-23,2022-05-09,-23,-98,-5.858578866385267,0.0,2022-01-03,2022-01-19,2022-02-22,12,-22,-18.79682036227679,-18.79682036227679,2022-02-14,-9,-84,-8.23277790530832,28.33,-6.004466722562396
